"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","runDate","type","SampID","replicate","Run.Cmpd","inj.vol.Norm.Area","13C Acetyl CoA.Norm.Area","13C-Isethionic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area","13C-Sulfolactic Acid.Norm.Area","d3-Cysteic Acid.Norm.Area","d4 Succinic Acid.Norm.Area","d4 Taurine.Norm.Area","D-Methionine.Norm.Area","Heavy Alanine.Norm.Area","Heavy Histidine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Proline.Norm.Area","Heavy Valine.Norm.Area","15N GMP.Norm.Area","15N AMP.Norm.Area","PooPlusModel.IS","PooPlusModel"
"13C-Isethionic Acid.Norm.Area.847","170410_Poo_April10AqExtractsFull_1","13C-Isethionic Acid",7.13,NA,6739843,-898551,259047,1.549328291,535.9930941,170410,"Poo","April10AqExtracts","Full1","170410_Poo_April10AqExtractsFull_1 13C-Isethionic Acid",6739843,5771064.0894017,5940104.22222222,5765902.18573111,6078407.60764341,6117567.88943665,6227739.13717858,6992616.78694047,4486825.94769986,5712231.64996858,7637959.54444566,4574761.57649412,6033862.2027893,6162110.62271568,6429886.60191337,6864761.16738498,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.848","170410_Poo_April10AqExtractsFull_2","13C-Isethionic Acid",6.93,NA,6189642,-1448752,220171,1.258605783,1372.210013,170410,"Poo","April10AqExtracts","Full2","170410_Poo_April10AqExtractsFull_2 13C-Isethionic Acid",6189642,5556540.95002043,5940104.22222222,5670273.34912576,5307322.54024477,5763071.68310033,6355090.50166235,5910509.48691315,6815703.54286909,5817554.15716553,5846021.12111088,6793290.72136275,6395796.00909279,6290819.09260309,6396275.0434829,5986589.25551572,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.849","170410_Poo_April10AqExtractsFull_3","13C-Isethionic Acid",6.855,NA,6570554,-1067840,246585,1.168998566,Inf,170410,"Poo","April10AqExtracts","Full3","170410_Poo_April10AqExtractsFull_3 13C-Isethionic Acid",6570554,5831658.87833752,5940104.22222222,5360375.89552112,6846139.46821565,5182141.95906176,6115434.37761138,6076127.50916942,7980097.61440785,6294799.10601664,5775845.54617069,7454976.00067549,6967170.49653227,6579786.84047354,6212184.37884013,5600678.68220998,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.850","170410_Poo_April10AqExtractsHalf_1","13C-Isethionic Acid",6.825,NA,3139295,-4499099,127648,1.402028664,344.4301499,170410,"Poo","April10AqExtracts","Half1","170410_Poo_April10AqExtractsHalf_1 13C-Isethionic Acid",6278590,5213976.18735658,5940104.22222222,3976670.29693562,5232326.9795679,6674744.37815231,5512483.74197925,3857904.00550876,5584833.45260014,4998877.47040314,5003551.49090398,4962455.51330939,3594888.58362711,4942344.18600032,4802959.39363393,5694051.33585742,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.851","170410_Poo_April10AqExtractsHalf_2","13C-Isethionic Acid",6.905,NA,3684482,-3953912,157701,1.261991288,533.3626644,170410,"Poo","April10AqExtracts","Half2","170410_Poo_April10AqExtractsHalf_2 13C-Isethionic Acid",7368964,6450024.85967552,5940104.22222222,4419576.53132282,6498227.00631565,6274167.33675423,5849229.03294864,5412759.6600201,7403335.67095332,5972167.71589988,5209161.63591537,6726536.66433633,4385420.70326296,6473026.19961248,5511919.22330844,5894585.51265273,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.852","170410_Poo_April10AqExtractsHalf_3","13C-Isethionic Acid",6.91,NA,3401213,-4237181,134979,1.301204409,Inf,170410,"Poo","April10AqExtracts","Half3","170410_Poo_April10AqExtractsHalf_3 13C-Isethionic Acid",6802426,5229618.72105473,5940104.22222222,5079018.67559299,7958336.25956238,6317658.18890188,5662370.71714698,5176534.28750231,5992581.92114782,5860534.67522787,4717049.67410191,5309090.64533253,4041563.07327492,6074520.12033726,5820653.7506263,6047485.33033719,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.853","170410_Smp_32ppt-1C_A","13C-Isethionic Acid",6.96,NA,6820194,-818200,241802,1.375852419,Inf,170410,"Smp","32ppt-1C","A","170410_Smp_32ppt-1C_A 13C-Isethionic Acid",6820194,6079282.85870808,5940104.22222222,8199051.06073582,8520322.43416073,6029968.65389117,6184966.47197146,7106044.06184708,5918088.00024796,6407512.13488667,5028677.50798999,6103003.97336492,6720913.09338945,6761378.33694786,6967415.05754417,5818363.91310659,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.854","170410_Smp_32ppt-1C_B","13C-Isethionic Acid",6.8,NA,7744874,106480,273651,1.405652758,Inf,170410,"Smp","32ppt-1C","B","170410_Smp_32ppt-1C_B 13C-Isethionic Acid",7744874,6843966.38524161,5940104.22222222,6327221.75447372,8098543.84404889,6493645.74340594,7421633.11633008,8230587.4364292,7673990.66217878,6916315.89838799,5195300.48376313,8064094.67368966,8106212.50111964,8185956.31366668,6730224.03579166,6320459.63246461,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.855","170410_Smp_32ppt-1C_C","13C-Isethionic Acid",7.07,NA,6299946,-1338448,230100,1.270151428,Inf,170410,"Smp","32ppt-1C","C","170410_Smp_32ppt-1C_C 13C-Isethionic Acid",6299946,6173609.73104441,5940104.22222222,5084141.66770317,8002915.24230039,5440293.97332621,6043704.36147401,6565074.74503447,5504135.27230535,6135503.14640184,4566482.89958326,5657175.76884176,6122172.20987617,5889527.77083611,5029239.88548638,5142109.31000615,"13C-Isethionic Acid.Norm.Area",5940104.22222222
"13C-Isethionic Acid.Norm.Area.856","170410_Smp_32ppt4C_A","13C-Isethionic Acid",7.12,NA,6407525,-1230869,254215,1.21273791,Inf,170410,"Smp","32ppt4C","A","170410_Smp_32ppt4C_A 13C-Isethionic Acid",6407525,6177458.54528532,5940104.22222222,4538864.02414068,5032328.88887448,6446100.24809936,5212104.63215663,6065797.40155542,4860534.54038613,6239848.60102564,7872491.59780428,5663450.78381172,5473956.71029507,5377335.68316359,5809715.53274503,5647819.38345314,"13C-Isethionic Acid.Norm.Area",5940104.22222222
