,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,13C Acetyl CoA.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Sulfoacetic Acid.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d3-Cysteic Acid.Norm.Area,d4 Succinic Acid.Norm.Area,d4 Taurine.Norm.Area,D-Methionine.Norm.Area,Heavy Alanine.Norm.Area,Heavy Histidine.Norm.Area,Heavy Isoleucine.Norm.Area,PooModel.IS,SmpModel.IS,PooPlusModel.IS,PooModel,SmpModel,PooPlusModel
1,160802_Poo_0801PooledDiatoms_1,Picolinic Acid,6.28,,11453862,319282,1.020934854,187.5237188,160802_Poo_0801PooledDiatoms_1 Picolinic Acid,160802,Poo,0801PooledDiatoms,1,9322146.326,8998255.161,8463842.216,8960860.127,8091027.015,11453149.1,11814111.43,12308856.96,11191985.74,8269153.288,18468183.3,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,11814111.43,8960860.127,11814111.43
2,160802_Poo_0801PooledDiatoms_2,Picolinic Acid,6.4,,10093513,301326,0.842046229,9.393138648,160802_Poo_0801PooledDiatoms_2 Picolinic Acid,160802,Poo,0801PooledDiatoms,2,7111488.963,7933756.285,7200294.269,8358208.894,10497429.54,11497319.46,11006400.3,10711933.1,9569325.852,6997518.428,15022952.04,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,11006400.3,8358208.894,11006400.3
3,160802_Poo_0801PooledDiatoms_3,Picolinic Acid,6.275,,11090596,316920,1.025262345,788.5725039,160802_Poo_0801PooledDiatoms_3 Picolinic Acid,160802,Poo,0801PooledDiatoms,3,9157691.433,8200923.185,6646255.001,8820167.853,7836367.956,8595854.238,11571588.16,12160956.22,9624838.646,6893316.542,16387338.03,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,11571588.16,8820167.853,11571588.16
4,160802_Smp_Np_12,Picolinic Acid,6.755,Bad IRcomparable to blkbad S/N,NA,9085,0.128279229,1.30439802,160802_Smp_Np_12 Picolinic Acid,160802,Smp,Np,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,NA,NA,NA
5,160802_Smp_Np_34,Picolinic Acid,6.78,Bad IRcomparable to blk,NA,14836,0.059753193,Inf,160802_Smp_Np_34 Picolinic Acid,160802,Smp,Np,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,NA,NA,NA
6,160802_Smp_Np_56,Picolinic Acid,6.155,Bad IRcomparable to blkbad S/N,NA,18085,0.191068205,3.966920984,160802_Smp_Np_56 Picolinic Acid,160802,Smp,Np,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,NA,NA,NA
7,160802_Smp_Pt_12,Picolinic Acid,6.055,Bad IRcomparable to blk,NA,16789,0.48391321,5.050931782,160802_Smp_Pt_12 Picolinic Acid,160802,Smp,Pt,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,NA,NA,NA
8,160802_Smp_Pt_34,Picolinic Acid,6.095,Bad IRcomparable to blk,NA,7867,0.052719596,4.160387513,160802_Smp_Pt_34 Picolinic Acid,160802,Smp,Pt,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,NA,NA,NA
9,160802_Smp_Pt_56,Picolinic Acid,NA,Bad RTNo second trace,NA,5686,NA,Inf,160802_Smp_Pt_56 Picolinic Acid,160802,Smp,Pt,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,NA,NA,NA
10,160802_Smp_Tp_12,Picolinic Acid,6.41,,18263846,468667,1.04267883,57.43782949,160802_Smp_Tp_12 Picolinic Acid,160802,Smp,Tp,12,27086763.19,21285423.6,20295793,24397696.07,18817775.41,17760538.1,15045856.85,28074757.49,17928765.86,28346006.68,15576267.42,d4 Taurine.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d4 Taurine.Norm.Area,15045856.85,24397696.07,15045856.85
