# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2016-10-18 11:28:44
"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Height","IR","S.N","rawArea"
"1","160802_Poo_0801_PooledDiatoms_1","Picolinic Acid",6.28,"",11453862,319282,1.02093485387371,187.523718794274,11453862
"2","160802_Poo_0801_PooledDiatoms_2","Picolinic Acid",6.4,"",10093513,301326,0.842046229350456,9.39313864813557,10093513
"3","160802_Poo_0801_PooledDiatoms_3","Picolinic Acid",6.275,"",11090596,316920,1.02526234535803,788.572503905695,11090596
"4","160802_Smp_Np12","Picolinic Acid",6.755,"Bad IRcomparable to blkbad S/N",NA,9085,0.128279229386557,1.30439802013052,44033
"5","160802_Smp_Np34","Picolinic Acid",6.78,"Bad IRcomparable to blk",NA,14836,0.05975319314272,Inf,205155
"6","160802_Smp_NP56","Picolinic Acid",6.155,"Bad IRcomparable to blkbad S/N",NA,18085,0.191068205349044,3.96692098383396,166827
"7","160802_Smp_Pt2","Picolinic Acid",6.055,"Bad IRcomparable to blk",NA,16789,0.483913209903902,5.05093178176912,144120
"8","160802_Smp_Pt34","Picolinic Acid",6.095,"Bad IRcomparable to blk",NA,7867,0.0527195961516131,4.16038751345533,44040
"9","160802_Smp_Pt56","Picolinic Acid",NA,"Bad RTNo second trace",NA,5686,NA,Inf,34105
"10","160802_Smp_Tp12","Picolinic Acid",6.41,"",18263846,468667,1.04267883028992,57.4378294861098,18263846
"11","160802_Smp_Tp34","Picolinic Acid",6.295,"",21080536,535526,1.20823116932482,Inf,21080536
"12","160802_Smp_TP56","Picolinic Acid",6.36,"",17758300,530287,1.20751302756576,18.2834039107445,17758300
"13","160802_Poo_0801_PooledDiatoms_1","Ketoglutaric Acid",12.36,"",3756175,298204,10.0013180036638,742.301559107953,3756175
"14","160802_Poo_0801_PooledDiatoms_2","Ketoglutaric Acid",12.34,"",3956858,334690,13.8125654523367,165.430601728723,3956858
"15","160802_Poo_0801_PooledDiatoms_3","Ketoglutaric Acid",12.33,"",3646732,255602,7.1393259526816,35.6532237373497,3646732
"16","160802_Smp_Np12","Ketoglutaric Acid",12.565,"Bad IR",949797,83773,15.5408894561162,Inf,949797
"17","160802_Smp_Np34","Ketoglutaric Acid",12.475,"",651035,69134,8.74847145141567,71.2378897399935,651035
"18","160802_Smp_NP56","Ketoglutaric Acid",12.43,"",831867,69071,11.9435319454415,15696.6037735849,831867
