"","Compound.Name","type","SampID","Normer","m","sd","rsd","Poo.Picked.IS","PooPlus.IS"
"1","13C-Isethionic Acid","Poo","April10AqExtracts","13C-Isethionic Acid.Norm.Area",5940104.22222222,0,0,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"2","13C-Isethionic Acid","Poo","April10AqExtracts","13C-Sulfoacetic Acid.Norm.Area",5045302.82237157,713269.692009574,0.141373019047903,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"3","13C-Isethionic Acid","Poo","April10AqExtracts","13C-Sulfolactic Acid.Norm.Area",6320126.64359163,1025636.22497224,0.162280960938053,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"4","13C-Isethionic Acid","Poo","April10AqExtracts","13C Acetyl CoA.Norm.Area",5675480.61430775,460298.26125898,0.0811029571836753,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"5","13C-Isethionic Acid","Poo","April10AqExtracts","15N AMP.Norm.Area",6014691.88065967,450139.042344219,0.0748399172020179,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"6","13C-Isethionic Acid","Poo","April10AqExtracts","15N GMP.Norm.Area",5862313.06530085,628714.019936597,0.107246749351884,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"7","13C-Isethionic Acid","Poo","April10AqExtracts","D-Methionine.Norm.Area",6377229.69161301,1277795.78954733,0.200368475237424,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"8","13C-Isethionic Acid","Poo","April10AqExtracts","d3-Cysteic Acid.Norm.Area",6054891.90590119,520023.98261417,0.0858849324968702,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"9","13C-Isethionic Acid","Poo","April10AqExtracts","d4 Succinic Acid.Norm.Area",5953724.58475453,332514.212974828,0.0558497807954175,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"10","13C-Isethionic Acid","Poo","April10AqExtracts","d4 Taurine.Norm.Area",5571075.28934237,1049452.79426937,0.188375266849652,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"11","13C-Isethionic Acid","Poo","April10AqExtracts","Heavy Alanine.Norm.Area",5776027.46244694,429998.364742541,0.0744453463107978,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"12","13C-Isethionic Acid","Poo","April10AqExtracts","Heavy Histidine.Norm.Area",5698264.83544142,1046412.73066402,0.183637082670441,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
