Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Blk_FilterBlk_A,Heavy Acetyl CoA,10.71,5463495,0,160480,1.3,Internal Standard,810.125208
Internal Standard,170410_Blk_FilterBlk_B,Heavy Acetyl CoA,10.67,5201836,0,166007,0.7,Internal Standard,810.125208
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Acetyl CoA,11.16,1560441,0,81530,1.3,Internal Standard,810.125208
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Acetyl CoA,11.17,518460,0,60756,-0.1,Internal Standard,810.125208
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Acetyl CoA,11.12,220134,0,24040,-0.3,Internal Standard,810.125208
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Acetyl CoA,11.15,367613,0,49449,0.6,Internal Standard,810.125208
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Acetyl CoA,11.09,62957,0,22602,1.3,Internal Standard,810.125208
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Acetyl CoA,11.73,72014,0,20098,-0.1,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Acetyl CoA,11.13,1239774,0,60283,1.3,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Acetyl CoA,11.88,354350,0,26341,0.9,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Acetyl CoA,12.13,219370,0,23609,-1.1,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Acetyl CoA,11.68,1631465,0,81468,1.1,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Acetyl CoA,11.58,1067335,0,60041,0.5,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Acetyl CoA,11.43,374950,0,28872,0,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Acetyl CoA,11.08,1502729,0,85933,1.1,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Acetyl CoA,11.32,1321961,0,69125,0.4,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Acetyl CoA,12.1,1192412,0,62777,0.6,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Acetyl CoA,11.62,1656931,0,83048,1.1,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Acetyl CoA,11.57,695700,0,47274,1,Internal Standard,810.125208
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Acetyl CoA,11.96,292032,0,26278,0.3,Internal Standard,810.125208
Internal Standard,170410_Blk_FilterBlk_A,Heavy Taurine,10.27,41264504,0,3527490,-8,Internal Standard,128.032495
Internal Standard,170410_Blk_FilterBlk_B,Heavy Taurine,10.28,42819340,0,3456462,-8.1,Internal Standard,128.032495
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Taurine,11.13,7708870,0,1158887,-8.4,Internal Standard,128.032495
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Taurine,11.23,6421168,0,820030,-8.5,Internal Standard,128.032495
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Taurine,11.17,4485625,0,602526,-8.5,Internal Standard,128.032495
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Taurine,11.05,6749315,0,986656,-8.3,Internal Standard,128.032495
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Taurine,11.08,4215803,0,604642,-8.4,Internal Standard,128.032495
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Taurine,11.08,4516916,0,620787,-8.7,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Taurine,11.11,9197545,0,1304914,-8,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Taurine,11.19,4873348,0,678843,-8.4,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Taurine,11.2,4582887,0,661873,-8.6,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Taurine,11.13,7600194,0,1167497,-8.4,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Taurine,11.21,6727026,0,896448,-8.9,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Taurine,11.21,6110634,0,877139,-8.5,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Taurine,11.16,8982418,0,1390815,-8.3,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Taurine,11.26,6824087,0,848977,-8.9,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Taurine,11.22,6956417,0,956134,-8.9,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Taurine,11.05,13615174,0,1985020,-8.2,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Taurine,11.2,5727670,0,848815,-8.6,Internal Standard,128.032495
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Taurine,11.27,5006827,0,608736,-8.6,Internal Standard,128.032495
Internal Standard,170410_Blk_FilterBlk_A,Heavy Sulfoacetic Acid,13.97,25830228,0,2412073,-7,Internal Standard,140.977378
Internal Standard,170410_Blk_FilterBlk_B,Heavy Sulfoacetic Acid,13.99,25611406,0,2197137,-7,Internal Standard,140.977378
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Sulfoacetic Acid,13.97,22535558,0,5058234,-7.1,Internal Standard,140.977378
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Sulfoacetic Acid,14.35,28621168,0,7279455,-7.9,Internal Standard,140.977378
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Sulfoacetic Acid,14.32,26599046,0,7383673,-7.5,Internal Standard,140.977378
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Sulfoacetic Acid,14.11,15344233,0,3065836,-7.2,Internal Standard,140.977378
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Sulfoacetic Acid,14.42,15127127,0,3741425,-7.6,Internal Standard,140.977378
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Sulfoacetic Acid,14.33,15137618,0,3567223,-7.6,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Sulfoacetic Acid,13.91,24354178,0,5640098,-6.9,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Sulfoacetic Acid,14.38,25410260,0,7016700,-7.6,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Sulfoacetic Acid,14.38,24966640,0,6849350,-7.5,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Sulfoacetic Acid,14.02,25558652,0,5112088,-7.1,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Sulfoacetic Acid,14.24,28389326,0,5219282,-7.3,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Sulfoacetic Acid,14.37,28702180,180216,6482193,-7.5,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Sulfoacetic Acid,14.08,23361890,0,5179734,-7.1,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Sulfoacetic Acid,14.29,26321346,0,5190385,-7.6,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Sulfoacetic Acid,14.33,27059280,0,5280990,-7.7,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Sulfoacetic Acid,14.18,30294406,0,5707956,-7,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Sulfoacetic Acid,14.4,26319918,0,6555553,-7.6,Internal Standard,140.977378
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Sulfoacetic Acid,14.37,23257950,0,6628515,-7.7,Internal Standard,140.977378
Internal Standard,170410_Blk_FilterBlk_A,Heavy Succinic Acid,12.32,81622488,0,9860823,-6.4,Internal Standard,121.04444
Internal Standard,170410_Blk_FilterBlk_B,Heavy Succinic Acid,12.31,69162232,0,9266175,-6.1,Internal Standard,121.04444
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Succinic Acid,12.72,63323968,0,4640203,-6.2,Internal Standard,121.04444
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Succinic Acid,14.17,1502306,0,114887,-6.6,Internal Standard,121.04444
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Succinic Acid,14.06,4809341,0,114023,-6.4,Internal Standard,121.04444
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Succinic Acid,12.67,30296706,0,5213991,-7,Internal Standard,121.04444
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Succinic Acid,12.9,4023953,0,1836803,-5.6,Internal Standard,121.04444
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Succinic Acid,13.17,2255513,0,107695,-6.1,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Succinic Acid,12.57,72373376,0,9874302,-8.1,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Succinic Acid,13.54,1361787,0,117077,-6.3,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Succinic Acid,13.12,5664278,0,1407178,-7.2,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Succinic Acid,12.65,49277848,0,9415960,-6.5,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Succinic Acid,11.41,4642369,0,120231,-6.4,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Succinic Acid,12.87,3397126,0,380965,-6.9,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Succinic Acid,12.7,35343336,0,2438466,-7.1,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Succinic Acid,13.66,1680143,0,475882,-7,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Succinic Acid,11.54,3862895,0,115493,-6.4,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Succinic Acid,12.76,80048072,0,8018427,-8.1,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Succinic Acid,14,2861037,0,134125,-6.1,Internal Standard,121.04444
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Succinic Acid,11.27,3708345,0,122360,-6.7,Internal Standard,121.04444
Internal Standard,170410_Blk_FilterBlk_A,Heavy Cysteic Acid,12.18,8035311,0,724281,-4.3,Internal Standard,171.016047
Internal Standard,170410_Blk_FilterBlk_B,Heavy Cysteic Acid,12.2,8135601,0,738789,-4.5,Internal Standard,171.016047
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Cysteic Acid,12.78,6746020,0,804385,-4.5,Internal Standard,171.016047
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Cysteic Acid,13.08,5446138,0,570900,-5,Internal Standard,171.016047
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Cysteic Acid,12.98,4686223,0,487466,-4.9,Internal Standard,171.016047
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Cysteic Acid,12.67,3256386,0,355072,-4.4,Internal Standard,171.016047
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Cysteic Acid,12.96,2670302,0,259203,-4.9,Internal Standard,171.016047
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Cysteic Acid,12.82,2734176,0,303466,-5.1,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Cysteic Acid,12.65,6675874,0,825265,-4.3,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Cysteic Acid,13.1,4501935,0,537391,-4.7,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Cysteic Acid,13.18,4357166,0,512809,-4.7,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Cysteic Acid,12.76,7214083,0,839968,-4.5,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Cysteic Acid,13,7440137,0,744153,-4.9,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Cysteic Acid,13.11,5760049,0,608723,-4.8,Internal Standard,171.016047
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Cysteic Acid,12.9,6775156,0,767002,-4.5,Internal Standard,171.016047
