Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Blk_FilterBlk_A,Heavy Histidine,11.17,63184436,0,2916882,0.8,Internal Standard,157.073788
Internal Standard,170410_Blk_FilterBlk_B,Heavy Histidine,11.14,58512820,0,2934722,0.8,Internal Standard,157.073788
Internal Standard,170410_Poo_April11AqExtractsFull_1,Heavy Histidine,11.29,47024376,0,3137050,0.7,Internal Standard,157.073788
Internal Standard,170410_Poo_April11AqExtractsFull_2,Heavy Histidine,11.53,26222424,0,1686823,0.5,Internal Standard,157.073788
Internal Standard,170410_Poo_April11AqExtractsFull_3,Heavy Histidine,11.47,21384040,0,1518974,0.6,Internal Standard,157.073788
Internal Standard,170410_Poo_April11AqExtractsHalf_1,Heavy Histidine,11.29,23232750,0,1498820,1,Internal Standard,157.073788
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Histidine,11.44,9716191,0,669478,0.3,Internal Standard,157.073788
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Histidine,11.39,11192297,0,834887,0.3,Internal Standard,157.073788
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Histidine,11.29,37430300,0,2711932,0.9,Internal Standard,157.073788
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Histidine,11.5,18222438,0,1322735,0.5,Internal Standard,157.073788
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Histidine,11.29,52731900,0,3728956,0.6,Internal Standard,157.073788
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Histidine,11.48,47487252,0,2312154,0.5,Internal Standard,157.073788
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Histidine,11.54,26834696,0,1425301,0.5,Internal Standard,157.073788
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Histidine,11.34,42941640,0,2774426,0.8,Internal Standard,157.073788
