Sample.Name,,,,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Bio.Normalization2,Injec_vol,Blanks,Notes
170410_Std_4uM_StdsInH2O_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:02,2,HILIC,,1,,,,,
170410_Blk_Blk_12,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Std_4uM_StdsInAqEnvMatrix_1,stds spiked into environmental matrix ,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:03,2,HILIC,,1,,,,,
170410_Blk_Blk_13,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Blk_Blk_14,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Blk_FilterBlk_A,1/3 of durapore filter,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:04,2,HILIC,,1,11.14,2.4475,1,,
170410_Blk_FilterBlk_B,1/3 of durapore filter,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:05,2,HILIC,,1,11.14,2.4475,1,,
170410_Smp_KM1513-15m_A,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:07,2,HILIC,15m,1,10.7,3.47,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Poo_April11AqExtractsFull_1,Env pooled_Full strength,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,Poo,1,11.14,2.4475,1,,
170410_Blk_Blk_15,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Smp_KM1513-45m_A,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:08,2,HILIC,45m,1,9,3.01,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Smp_KM1513-15m_B,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:09,2,HILIC,15m,1,10.7,3.47,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Smp_KM1513-125m_A,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:10,2,HILIC,125m,1,12.17,1.26,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Blk_Blk_16,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Smp_KM1513-45m_B,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:11,2,HILIC,45m,1,9,3.01,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Smp_KM1513-15m_C,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:12,2,HILIC,15m,1,10.7,3.47,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Poo_April11AqExtractsHalf_1,Env pooled_Half strength,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,Poo,1,11.14,2.4475,0.5,,
170410_Blk_Blk_17,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Smp_KM1513-45m_C,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:13,2,HILIC,45m,1,9,3.01,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Smp_KM1513-75m_A,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:14,2,HILIC,75m,1,12.7,2.05,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Poo_April11AqExtractsFull_2,Env pooled_Full strength,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,Poo,1,11.14,2.4475,1,,
170410_Blk_Blk_18,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Poo_April11AqExtractsHalf_2,Env pooled_Half strength,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,Poo,1,11.14,2.4475,0.5,,
170410_Poo_April11AqExtractsFull_3,Env pooled_Full strength,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,Poo,1,11.14,2.4475,1,,
170410_Smp_KM1513-75m_B,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:15,2,HILIC,75m,1,12.7,2.05,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Blk_Blk_19,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Smp_KM1513-75m_C,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:16,2,HILIC,75m,1,12.7,2.05,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Smp_KM1513-125m_B,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:17,2,HILIC,125m,1,12.17,1.26,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Smp_KM1513-125m_C,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:18,2,HILIC,125m,1,12.17,1.26,1,170410_Blk_FilterBlk_A;170410_Blk_FilterBlk_B,
170410_Poo_April11AqExtractsHalf_3,Env pooled_Half strength,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,Poo,1,11.14,2.4475,0.5,,
170410_Blk_Blk_20,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170410_Std_4uM_StdsInAqEnvMatrix_2,stds spiked into environmental matrix ,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:03,2,HILIC,,1,,,,,
170410_Std_4uM_StdsInH2O_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:02,2,HILIC,,1,,,,,
170410_Blk_Blk_21,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,,1,,,,,
170413_Std_250nMStdsInEnvAqMatrix_1,Env Aq Matrix,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:20,15,CyanoAq,,1,,,,,
170413_Blk_Blk_11,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Blk_Blk_12,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Blk_FilterBlk_A,1/3 of durapore filter,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:21,15,CyanoAq,,1,11.14,2.4475,1,,
170413_Blk_FilterBlk_B,1/3 of durapore filter,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:22,15,CyanoAq,,1,11.14,2.4475,1,,
170413_Smp_KM1513-15m_B,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:23,15,CyanoAq,15m,1,10.7,3.47,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Poo_April11AqExtractsFull_1,Env pooled_Full strength,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:24,15,CyanoAq,Poo,1,11.14,2.4475,1,,
170413_Blk_Blk_13,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,,1,,,,,
170413_Smp_KM1513-45m_A,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:26,15,CyanoAq,45m,1,9,3.01,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
170413_Smp_KM1513-15m_A,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:27,15,CyanoAq,15m,1,10.7,3.47,1,170413_Blk_FilterBlk_A;170413_Blk_FilterBlk_B,
