"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","rawdat","X170410_Blk_FilterBlk_A","X170410_Blk_FilterBlk_B","X170410_Poo_April11AqExtractsFull_1","X170410_Poo_April11AqExtractsFull_2","X170410_Poo_April11AqExtractsFull_3","X170410_Poo_April11AqExtractsHalf_1","X170410_Poo_April11AqExtractsHalf_2","X170410_Poo_April11AqExtractsHalf_3","X170410_Smp_KM1513.125m_A","X170410_Smp_KM1513.125m_B","X170410_Smp_KM1513.125m_C","X170410_Smp_KM1513.15m_A","X170410_Smp_KM1513.15m_B","X170410_Smp_KM1513.15m_C","X170410_Smp_KM1513.45m_A","X170410_Smp_KM1513.45m_B","X170410_Smp_KM1513.45m_C","X170410_Smp_KM1513.75m_A","X170410_Smp_KM1513.75m_B","X170410_Smp_KM1513.75m_C","MassFeature","groupname","RT","Fraction","AveBlank","AveSmp","AvePoo"
"1",47,83.0497643203663,83.0497207204273,83.0497954294759,166.918800354004,166.609,167.585754394531,4,4,53825.15643286,65165.7450451838,96210.9000025354,168933.333430851,254765.147282765,97608.9033535561,384943.583530212,244942.337275147,506570.60432166,339220.588169058,325275.019596469,109854.616629937,269865.983236607,414718.269546509,222667.230049553,1864023.05886654,128738.62540565,57326.9699010791,156484.535724794,136588.582716247,"I83.0498R2.78","M83T167",2.78198000590007,"HILICPos",59495.4507390219,377611.173680342,207900.700812511
"2",72,84.0449561917584,84.0449214452346,84.0450167302058,560.434448242188,558.454467773438,564.401062011719,15,15,562450.619585851,563532.803396717,3251335.80116366,2647867.06416871,2230432.48814241,1906611.55466885,1110710.12888622,2110244.79533124,667430.285755312,360627.263907187,499717.619908087,6188085.83049156,7594104.71793392,5104388.82982088,1992828.79605663,2492561.22156748,2166620.16562563,2650933.16524559,3349746.60933278,3690290.11330694,"I84.045R9.34","M84T560",9.34057413736979,"HILICPos",562991.711491284,3063111.218246,2209533.63872685
"3",103,86.0354637240863,86.0354321556073,86.0355090252626,364.244781494141,361.487609863281,365.512786865234,13,13,6061.84983703105,6028.80278484718,722664.510611697,705939.250122884,557892.513254883,263115.971445508,269985.090805935,189230.43349988,201328.433391016,160406.449193835,70909.7135559718,612842.137407227,1405203.27628758,1322563.5734605,779322.259818725,943946.51141542,948653.966902266,184257.074401367,367530.810962949,203411.914930858,"I86.0355R6.07","M86T364",6.07074635823568,"HILICPos",6045.32631093912,600031.34347731,451471.294956798
"4",104,86.0354762466781,86.0354069735016,86.0355285194028,234.205825805664,230.544174194336,238.107925415039,5,5,6581.2486135783,0,232651.33097991,228336.890229493,278063.130489915,80256.9927851354,81095.0542858014,74692.2626721318,185170.092111437,174792.075040897,192551.312032152,330429.106387999,426793.001444077,331956.251470076,301253.329710204,437745.991440715,161950.732657335,109379.581536314,224839.176137426,240533.163904722,"I86.0355R3.9","M86T234",3.9034304300944,"HILICPos",3290.62430678915,259782.817822779,162515.943573731
"5",122,86.0969991631385,86.0969532328996,86.0970543715916,429.253616333008,424.814666748047,432.781707763672,18,18,3598454.54884738,3489540.85913293,21149489.588362,21589752.3987949,20680171.3734808,11258648.2808262,12057810.1057996,9210655.8610719,23308759.3421737,21710278.1552083,23273814.8379775,16122368.1831852,19613543.1843867,23010910.6504205,15295376.5964241,22955427.0420693,17853885.2082425,28703022.5309729,32241673.2675723,29351885.2673349,"I86.097R7.15","M86T429",7.15422693888346,"HILICPos",3543997.70399015,22786745.3554973,15991087.9347226
"6",175,88.0762245755386,88.0761929171203,88.0762440096743,151.543823242188,151.504684448242,151.685485839844,5,5,13976709.1364831,14786456.5901282,29179443.2948541,33768006.38427,30056885.0483074,27871421.9701743,26577526.5966127,30422482.4201388,32352465.8558585,29500538.4104605,29432047.1993947,29278709.2407467,33038970.2734906,31770788.3796777,27160846.6694515,51944527.067125,29398872.0760303,26080137.8454989,30074503.4357912,30335303.0088055,"I88.0762R2.53","M88T152",2.52573038736979,"HILICPos",14381582.8633057,31697309.1218609,29645960.9523929
"7",216,90.0918661175416,90.0918264430655,90.0919447863013,407.781463623047,398.428649902344,419.983489990234,14,14,4624701.85518496,4436271.89724211,7003525.31137376,41654173.6369185,42009062.3972283,25374144.2281648,28511366.4961464,29300940.9303984,9999005.7556767,37168425.7330597,27824743.4191142,8145749.45304394,68020691.4738369,63833945.9768804,7224445.75702385,23013904.5888967,29701915.3524158,26184916.1046435,44333980.9858405,99858626.4141034,"I90.0919R6.8","M90T408",6.79635772705078,"HILICPos",4530486.87621354,37109195.917878,28975535.5000384
"8",217,90.091911855438,90.0918893467974,90.0919300023721,434.00080871582,431.357513427734,436.654357910156,4,4,5111275.98687644,5378147.40151978,33389311.8237501,10057568.583986,9435875.21533385,12132397.1319814,8725649.44989354,11163029.5551995,17959032.2085768,7812572.22830263,7037128.09029231,86854118.8154972,18201129.1929731,9439749.44759108,22546971.4242396,10002417.0095625,8756275.37273026,12634941.9435902,8732860.91015625,10913742.9323874,"I90.0919R7.23","M90T434",7.23334681193034,"HILICPos",5244711.69419811,18407578.2979916,14150638.6266907
"9",244,91.0952130010113,91.0951756354856,91.0952955761878,407.84065246582,399.387939453125,420.945617675781,14,14,605075.680169142,620690.884491465,837682.837741027,1817066.53529391,1808761.6896309,1124032.16852816,1464684.08987982,1174543.39563237,923861.147573665,1537775.06987415,1540805.48480632,937739.421117693,2296488.54420652,2808869.02745847,785251.21676065,996978.866371263,1384352.15648977,1176444.2951293,1702968.65948193,4307927.17300782,"I91.0952R6.8","M91T408",6.79734420776367,"HILICPos",612883.282330303,1699955.08852313,1371128.45278436
"10",269,93.0452320505154,93.0451953602377,93.045292300728,229.016815185547,223.740509033203,232.323318481445,18,18,1368108.60927039,927497.779170334,4414352.92001683,8140105.64431307,4221112.42974194,3681060.7062399,2917509.85230199,3239607.09660624,4784153.89948587,4276460.9257454,3407487.71423937,10878081.1096475,10704180.7588465,5126421.82926379,5830277.81986122,9852198.77923541,7646324.9963004,6658461.09052453,8964992.74520593,9231572.83738642,"I93.0452R3.82","M93T229",3.81694691975911,"HILICPos",1147803.19422036,7280051.20881186,4435624.77487
